method name: freqs			
corpus: siparl40			
subcorpus: -			
concordance size: 1922			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
Legislative period (in Slovene)	Frequency	Relative density	Relative in text types
24. redna seja (8. 7. 2021)	4	512.44112	36.99388
37. redna seja (16. 6. 2004)	4	847.28508	61.16676
Odbor za obrambo: 26. nujna seja (17. 2. 2016)	4	1092.95029	78.90169
Odbor za zunanjo politiko: 47. nujna seja (6. 7. 2006)	4	1814.40199	130.98435
22. redna seja (30. 1. 2003)	4	983.84545	71.02525
67. izredna seja (25. 3. 2021)	4	575.74147	41.56362
44. izredna seja (1. 10. 2013)	4	1046.01023	75.51302
3. izredna seja (18. 9. 2014)	4	711.28266	51.34854
Odbor za gospodarstvo: 50. nujna seja (28. 4. 2014)	4	1660.81794	119.89689
40. redna seja (17. 9. 1996)	4	2081.05946	150.23474
42. izredna seja (6. 4. 2004)	3	577.50571	41.69099
20. redna seja (26. 9. 2006)	3	504.15708	36.39584
28. izredna seja (27. 2. 2013)	3	505.96175	36.52612
2. redna seja (6. 11. 2008)	3	3024.2454	218.32472
2. izredna seja (21. 11. 2008)	3	589.47411	42.555
Odbor za zadeve Evropske unije: 17. nujna seja (1. 9. 2020)	3	1313.9871	94.85866
9. redna seja (22. 9. 2009)	3	503.35711	36.33809
9. redna seja (24. 9. 2009)	3	423.57129	30.57823
Odbor za delo družino socialne zadeve in invalide: 11. redna seja (26. 11. 2009)	3	1788.28453	129.09889
Odbor za obrambo: 11. redna seja (13. 4. 2010)	3	1072.11259	77.39738
26. redna seja (30. 3. 2011)	3	765.81446	55.28527
13. izredna seja (10. 5. 2012)	3	410.01812	29.59981
7. redna seja (19. 6. 2009)	3	676.22664	48.8178
6. redna seja (28. 9. 2012)	3	576.99253	41.65394
Odbor za finance in monetarno politiko: 35. nujna seja (5. 11. 2012)	3	1033.42674	74.6046
31. redna seja (1. 10. 2007)	3	676.08362	48.80747
9. redna seja (18. 12. 2012)	3	385.33939	27.81822
Odbor za gospodarstvo: 1. javna predstavitev mnenj (10. 1. 2013)	3	1331.54398	96.12612
Odbor za finance in monetarno politiko: 52. nujna seja (26. 4. 2013)	3	2579.04524	186.18507
14. izredna seja (10. 1. 2006)	3	726.78576	52.46773
15. redna seja (17. 6. 2013)	3	701.74873	50.66027
Odbor za finance in monetarno politiko: 70. nujna seja (8. 11. 2013)	3	357.60459	25.816
47. izredna seja (14. 11. 2013)	3	327.35044	23.63191
49. izredna seja (11. 12. 2013)	3	870.17665	62.81933
21. redna seja (29. 1. 2014)	3	348.46176	25.15597
Odbor za zdravstvo: 9. nujna seja (21. 3. 2019)	3	1629.90885	117.66552
Odbor za zdravstvo: 19. nujna seja (26. 2. 2016)	3	1111.00834	80.20533
14. redna seja (19. 12. 2019)	3	350.34191	25.2917
8. redna seja (19. 5. 2015)	3	464.08126	33.50271
10. izredna seja (13. 3. 2015)	3	695.65187	50.22013
Komisija za nadzor javnih financ: 34. nujna seja (29. 11. 2017)	3	4343.24373	313.54515
Odbor za zunanjo politiko: 70. redna seja (11. 11. 2020)	3	2863.17735	206.69698
24. redna seja (23. 11. 2016)	3	323.69902	23.36831
Skupna seja: 26. nujna seja (3. 12. 2020)	3	720.58533	52.02011
24. redna seja (6. 7. 2021)	3	444.59827	32.0962
10. redna seja (29. 1. 2013)	3	1184.6786	85.52369
21. redna seja (27. 10. 2020)	3	473.46112	34.17985
21. izredna seja (23. 11. 2012)	3	730.5164	52.73705
20. redna seja (22. 9. 2020)	3	415.653	30.0066
28. redna seja (17. 12. 2021)	3	360.27392	26.0087
Odbor za gospodarstvo: 29. nujna seja (26. 4. 2013)	3	2579.04524	186.18507
Odbor za notranje zadeve, javno upravo in lokalno samoupravo: 25. nujna seja (1. 6. 2020)	3	742.39238	53.5944
75. izredna seja (28. 5. 2021)	3	839.77278	60.62443
18. redna seja (17. 6. 2020)	3	464.75078	33.55104
17. redna seja (25. 5. 2020)	3	498.55621	35.99151
45. izredna seja (4. 7. 2017)	3	1008.62008	72.81377
Komisija za nadzor javnih financ: 26. redna seja (24. 3. 2022)	3	2070.56084	149.47683
28. redna seja (20. 12. 2021)	3	302.30354	21.82374
22. redna seja (22. 9. 2016)	3	504.86759	36.44713
Skupna seja: 22. nujna seja (3. 12. 2020)	3	720.32303	52.00118
36. redna seja (11. 12. 2017)	3	993.80978	71.74459
3. redna seja (16. 12. 2014)	3	622.78806	44.95999
Komisija za odnose s Slovenci v zamejstvu in po svetu: 5. nujna seja (19. 3. 2013)	3	2635.307	190.24669
9. izredna seja (20. 6. 2005)	3	391.86915	28.28961
36. izredna seja (7. 11. 2016)	3	451.93805	32.62607
49. izredna seja (25. 11. 2020)	3	489.70252	35.35235
57. izredna seja (2. 2. 2021)	3	488.92471	35.29619
19. redna seja (11. 7. 2006)	3	438.23126	31.63656
27. redna seja (3. 5. 2011)	3	962.03713	69.45088
Odbor za zdravstvo delo družino in socialno politiko: 66. redna seja (24. 8. 2000)	3	1227.18472	88.59227
Zbor občin: 7. seja	3	343.01691	24.7629
24. izredna seja (26. 5. 2010)	2	318.66874	23.00516
Odbor za zdravstvo: 32. nujna seja (21. 4. 2020)	2	598.20574	43.18535
Odbor za kulturo šolstvo in šport: 9. redna seja (1. 12. 2005)	2	1021.72613	73.75991
13. izredna seja (9. 12. 2005)	2	358.46213	25.87791
16. redna seja (20. 4. 2006)	2	607.25317	43.8385
21. izredna seja (25. 4. 2019)	2	616.50987	44.50675
2. izredna seja (28. 8. 2014)	2	443.49273	32.01639
Odbor za kulturo šolstvo in šport: 18. redna seja (5. 10. 2006)	2	599.9676	43.31254
23. izredna seja (17. 11. 2006)	2	524.10337	37.83579
Odbor za delo, družino, socialne zadeve in invalide: 11. nujna seja (7. 2. 2019)	2	1038.34579	74.95971
Odbor za zunanjo politiko: 104. redna seja (19. 1. 2018)	2	2914.99411	210.43771
Odbor za lokalno samoupravo in regionalni razvoj: 16. nujna seja (2. 3. 2007)	2	1319.62008	95.26531
28. redna seja (28. 5. 2007)	2	652.07607	47.07433
Odbor za delo družino socialne zadeve in invalide: 16. nujna seja (9. 10. 2007)	2	1459.72412	105.37963
32. redna seja (29. 10. 2007)	2	368.59189	26.60919
33. redna seja (19. 11. 2007)	2	414.64519	29.93385
31. izredna seja (27. 11. 2007)	2	391.28985	28.24779
30. izredna seja (27. 11. 2007)	2	391.28985	28.24779
31. izredna seja (12. 7. 1995)	2	388.17032	28.02259
43. izredna seja (8. 5. 2017)	2	376.90607	27.2094
38. redna seja (25. 4. 2008)	2	498.05131	35.95506
Odbor za okolje in prostor: 27. redna seja (6. 5. 2008)	2	849.89735	61.35534
21. redna seja (15. 7. 2016)	2	535.84202	38.68322
Komisija za odnose s Slovenci v zamejstvu in po svetu: 11. redna seja (23. 6. 2008)	2	2290.16318	165.33025
30. izredna seja (28. 11. 2007)	2	313.35231	22.62136
Odbor za kulturo šolstvo šport in mladino: 1. nujna seja (17. 11. 2008)	2	503.54619	36.35174
38. izredna seja (10. 1. 2011)	2	497.97074	35.94924
12. redna seja (22. 10. 2015)	2	558.55048	40.32258
3. redna seja (2. 3. 2009)	2	613.41121	44.28306
4. redna seja (30. 3. 2009)	2	696.92353	50.31193
Odbor za promet: 4. nujna seja (15. 4. 2009)	2	1024.9391	73.99186
5. redna seja (15. 5. 2009)	2	377.71799	27.26802
26. redna seja (29. 3. 2007)	2	337.40642	24.35787
Odbor za zunanjo politiko: 50. nujna seja (19. 3. 2014)	2	821.0083	59.2698
9. redna seja (21. 9. 2009)	2	521.81315	37.67046
Mandatno-volilna komisija: 11. redna seja (15. 10. 2009)	2	928.04851	66.99719
Komisija za nadzor javnih financ: 8. redna seja (4. 11. 2009)	2	764.94751	55.22269
11. redna seja (18. 11. 2009)	2	435.53064	31.4416
Odbor za zunanjo politiko: 22. redna seja (26. 11. 2009)	2	1530.61348	110.49724
Odbor za delo družino socialne zadeve in invalide: 15. nujna seja (9. 2. 2010)	2	698.52258	50.42737
Komisija za nadzor javnih financ: 13. redna seja (18. 2. 2010)	2	1705.07779	123.09207
Komisija za peticije ter za človekove pravice in enake možnosti: 8. nujna seja (3. 10. 2007)	2	540.13577	38.9932
18. redna seja (15. 6. 2010)	2	492.55243	35.55808
36. izredna seja (22. 12. 2010)	2	603.39121	43.5597
Odbor za zadeve Evropske unije: 81. redna seja (21. 1. 2011)	2	2503.75996	180.75011
25. redna seja (3. 3. 2011)	2	333.70398	24.09058
Odbor za okolje in prostor: 1. nujna seja (19. 11. 2008)	2	1148.78521	82.93249
Odbor za notranjo politiko javno upravo in pravosodje: 59. nujna seja (1. 6. 2011)	2	1143.19155	82.52868
30. redna seja (11. 7. 2011)	2	559.78065	40.41139
30. redna seja (15. 7. 2011)	2	314.78717	22.72495
Odbor za finance: 3. nujna seja (15. 11. 2018)	2	770.39304	55.61581
2. redna seja (27. 11. 2018)	2	472.43574	34.10583
31. redna seja (20. 9. 2011)	2	349.01929	25.19622
Odbor za pravosodje: 27. redna seja (10. 6. 2021)	2	678.22425	48.96201
88. izredna seja (8. 12. 2021)	2	818.09898	59.05977
13. izredna seja (11. 5. 2012)	2	449.10766	32.42174
Odbor za pravosodje, javno upravo in lokalno samoupravo: 7. nujna seja (22. 5. 2012)	2	1585.81019	114.48197
Odbor za kmetijstvo, gozdarstvo, prehrano in okolje: 6. redna seja (30. 5. 2012)	2	1133.09219	81.79959
Odbor za notranje zadeve: 3. redna seja (28. 6. 2012)	2	665.3243	48.03074
16. redna seja (2. 3. 2016)	2	253.99831	18.33651
Odbor za obrambo: 11. nujna seja (26. 10. 2012)	2	1345.90478	97.16284
Komisija za odnose s Slovenci v zamejstvu in po svetu: 20. redna seja (15. 10. 2003)	2	2633.72032	190.13214
16. izredna seja (5. 12. 2018)	2	920.64682	66.46285
Odbor za notranje zadeve, javno upravo in lokalno samoupravo: 27. redna seja (4. 11. 2021)	2	732.56396	52.88487
9. redna seja (20. 12. 2012)	2	749.75248	54.12573
Mandatno-volilna komisija: 6. redna seja (26. 2. 2015)	2	480.22368	34.66805
11. redna seja (5. 3. 2013)	2	567.07954	40.93831
60. izredna seja (15. 4. 2014)	2	541.58236	39.09763
Skupna seja: 14. nujna seja (4. 10. 2021)	2	1183.27869	85.42263
20. izredna seja (13. 11. 2012)	2	329.2346	23.76793
Odbor za delo, družino, socialne zadeve in invalide: 42. nujna seja (13. 10. 2016)	2	1226.7681	88.56219
Mandatno-volilna komisija: 36. nujna seja (29. 5. 2013)	2	1233.26674	89.03134
Odbor za pravosodje: 26. nujna seja (2. 7. 2013)	2	662.14398	47.80115
18. redna seja (29. 10. 2013)	2	488.18665	35.24291
Odbor za gospodarstvo: 20. nujna seja (8. 5. 2020)	2	302.17275	21.81429
Odbor za kulturo: 6. nujna seja (28. 11. 2013)	2	710.94498	51.32416
Odbor za okolje in prostor: 14. redna seja (17. 2. 2010)	2	2889.45599	208.59408
Odbor za kulturo: 8. redna seja (25. 2. 2014)	2	1386.93887	100.12516
22. redna seja (4. 3. 2014)	2	431.6693	31.16284
32. redna seja (18. 10. 2011)	2	258.9459	18.69369
Odbor za finance: 38. nujna seja (6. 5. 2020)	2	954.06378	68.87527
23. redna seja (31. 3. 2014)	2	399.47663	28.83881
47. izredna seja (12. 11. 2013)	2	447.01342	32.27056
3. redna seja (19. 12. 2018)	2	320.40089	23.13021
3. redna seja (20. 12. 2018)	2	288.28712	20.81187
Komisija za nadzor javnih financ: 16. nujna seja (24. 4. 2008)	2	3376.07897	243.7241
53. izredna seja (14. 12. 2020)	2	398.42529	28.76291
Odbor za delo, družino, socialne zadeve in invalide: 27. nujna seja (28. 5. 2014)	2	1050.79097	75.85815
Odbor za notranje zadeve, javno upravo in lokalno samoupravo: 1. redna seja (22. 10. 2014)	2	998.92205	72.11365
35. redna seja (13. 11. 2017)	2	669.11661	48.30451
Odbor za delo, družino, socialne zadeve in invalide: 12. redna seja (3. 10. 2019)	2	323.63473	23.36367
Kolegij predsednika Državnega zbora: 64. redna seja (20. 9. 2013)	2	2226.839	160.75878
25. redna seja (9. 3. 2007)	2	1066.93769	77.0238
38. redna seja (23. 4. 2008)	2	374.67851	27.04859
34. izredna seja (29. 6. 2016)	2	542.97286	39.19801
Skupna seja: 16. nujna seja (14. 4. 2020)	2	656.83778	47.41809
Skupna seja: 22. nujna seja (22. 4. 2020)	2	539.33662	38.9355
16. redna seja (3. 3. 2016)	2	739.97981	53.42023
2. redna seja (20. 11. 2014)	2	287.71826	20.7708
22. redna seja (23. 11. 2010)	2	295.36237	21.32264
37. izredna seja (14. 5. 2020)	2	432.17434	31.1993
Komisija za nadzor javnih financ: 16. nujna seja (20. 5. 2020)	2	1474.24989	106.42827
Odbor za zunanjo politiko: 17. redna seja (12. 12. 2012)	2	1697.2434	122.5265
Skupna seja: 20. nujna seja (14. 4. 2020)	2	656.83778	47.41809
26. izredna seja (7. 10. 2019)	2	313.35585	22.62162
40. izredna seja (11. 6. 2020)	2	224.8728	16.2339
3. redna seja (18. 12. 2018)	2	258.2772	18.64541
21. redna seja (13. 7. 2016)	2	382.02546	27.57898
23. redna seja (4. 4. 2014)	2	336.88535	24.32025
Komisija za nadzor javnih financ: 7. nujna seja (7. 10. 2015)	2	487.14795	35.16793
25. izredna seja (19. 12. 2002)	2	458.44193	33.0956
49. izredna seja (11. 10. 2018)	2	537.71406	38.81837
Odbor za kulturo šolstvo mladino znanost in šport: 3. izredna seja (27. 3. 2001)	2	1270.94706	91.75154
Komisija za odnose s Slovenci v zamejstvu in po svetu: 11. redna seja (8. 7. 2020)	2	2256.58581	162.90625
50. izredna seja (23. 10. 2017)	2	679.12203	49.02682
17. redna seja (15. 12. 1999)	2	637.62351	46.03098
Odbor za infrastrukturo, okolje in prostor: 39. nujna seja (21. 4. 2021)	2	2225.40799	160.65547
Odbor za kulturo: 8. redna seja (10. 6. 2020)	2	933.70982	67.40588
27. redna seja (18. 4. 2011)	2	715.81283	51.67558
Odbor za zdravstvo: 35. nujna seja (1. 6. 2020)	2	632.54267	45.66419
18. redna seja (21. 6. 2006)	2	305.02058	22.01988
19. izredna seja (11. 2. 2010)	2	452.73322	32.68348
Odbor za izobraževanje, znanost, šport in mladino: 35. nujna seja (22. 4. 2021)	2	673.27948	48.60504
1. izredna seja (25. 8. 2014)	2	484.06668	34.94549
17. redna seja (24. 9. 2013)	2	334.7119	24.16334
Skupna seja: 41. nujna seja (4. 10. 2021)	2	1183.27869	85.42263
21. redna seja (23. 10. 2020)	2	406.83296	29.36987
Odbor za zdravstvo: 31. nujna seja (21. 4. 2020)	2	755.62143	54.54942
27. redna seja (16. 11. 2021)	2	283.3223	20.45345
27. redna seja (17. 2. 2017)	2	512.95347	37.03087
6. redna seja (27. 3. 2019)	2	418.83898	30.2366
37. izredna seja (3. 6. 2008)	2	292.78713	21.13673
44. izredna seja (18. 9. 2020)	2	209.73816	15.14131
Komisija za nadzor proračuna in drugih javnih financ: 18. redna seja (26. 1. 2006)	2	876.9064	63.30516
Komisija za odnose s Slovenci v zamejstvu in po svetu: 1. redna seja (11. 4. 2001)	2	1430.03686	103.23646
23. izredna seja (17. 5. 2019)	2	456.35014	32.94459
Kolegij predsednika Državnega zbora: 69. redna seja (23. 10. 2013)	2	3316.66515	239.43493
Komisija za nadzor javnih financ: 51. redna seja (16. 1. 2018)	2	2038.56542	147.16703
Komisija za odnose s Slovenci v zamejstvu in po svetu: 1. redna seja (1. 3. 2012)	2	2069.63275	149.40983
Odbor za delo, družino, socialne zadeve in invalide: 77. nujna seja (28. 3. 2022)	2	1097.49649	79.22989
18. izredna seja (29. 5. 2006)	2	411.13772	29.68064
6. redna seja (26. 5. 2009)	2	260.75678	18.82442
49. izredna seja (11. 10. 2017)	2	518.64805	37.44196
30. redna seja (21. 3. 2022)	2	539.33662	38.9355
59. izredna seja (4. 2. 2021)	2	2812.31388	203.02507
18. redna seja (19. 6. 2006)	2	720.93536	52.04538
90. izredna seja (22. 12. 2021)	2	528.22041	38.13301
35. redna seja (29. 1. 2008)	2	297.63436	21.48666
31. izredna seja (20. 3. 2013)	2	435.23642	31.42036
19. izredna seja (6. 11. 2012)	2	430.72971	31.09501
2. redna seja (19. 11. 2014)	2	423.54539	30.57636
Odbor za finance in monetarno politiko: 32. nujna seja (23. 11. 2007)	2	2406.95951	173.76195
Odbor za infrastrukturo, okolje in prostor: 29. redna seja (5. 5. 2021)	2	1139.61761	82.27067
Odbor za izobraževanje, znanost, šport in mladino: 18. redna seja (5. 5. 2021)	2	678.70609	48.99679
Odbor za finance in monetarno politiko: 11. redna seja (28. 10. 2009)	2	726.49352	52.44664
Odbor za kulturo: 13. redna seja (14. 6. 2021)	2	473.53395	34.18511
Odbor za notranjo politiko javno upravo in pravosodje: 45. nujna seja (21. 12. 2010)	2	813.08086	58.6975
95. izredna seja (21. 2. 2022)	2	288.16118	20.80278
26. redna seja (27. 1. 2017)	2	917.38481	66.22736
25. redna seja (16. 12. 2016)	2	379.23294	27.37738
5. redna seja (23. 4. 2009)	2	352.9455	25.47965
23. izredna seja (5. 12. 2012)	2	268.60158	19.39074
Odbor za finance: 37. nujna seja (24. 4. 2020)	2	373.72828	26.97999
14. redna seja (4. 3. 2010)	2	360.42547	26.01964
13. redna seja (24. 4. 2013)	2	382.67451	27.62584
Komisija za evropske zadeve: 1. redna seja (31. 1. 1997)	2	1666.81331	120.3297
Odbor za izobraževanje, znanost, šport in mladino: 12. redna seja (25. 2. 2014)	2	1386.93887	100.12516
Skupna seja: 20. nujna seja (2. 6. 2020)	2	542.38819	39.1558
Skupna seja: 21. nujna seja (2. 6. 2020)	2	542.38819	39.1558
Komisija za peticije ter za človekove pravice in enake možnosti: 9. redna seja (13. 11. 2015)	2	874.85723	63.15723
13. izredna seja (21. 11. 2018)	2	487.2422	35.17473
35. redna seja (28. 11. 2017)	2	930.32352	67.16142
Odbor za finance in monetarno politiko: 7. nujna seja (15. 11. 2014)	2	495.1671	35.74684
40. izredna seja (5. 7. 2013)	2	536.1635	38.70643
31. izredna seja (28. 11. 2007)	2	313.35231	22.62136
Odbor za zunanjo politiko: 2. nujna seja (12. 9. 2014)	2	1337.00613	96.52044
Odbor za kulturo šolstvo in šport: 1. redna seja (14. 1. 2005)	2	1172.26353	84.62743
Odbor za zdravstvo: 11. nujna seja (12. 3. 2010)	2	719.26952	51.92512
Odbor za zunanjo politiko: 59. nujna seja (5. 9. 2017)	2	3182.91636	229.77941
Odbor za delo, družino, socialne zadeve in invalide: 48. redna seja (28. 9. 2017)	2	1713.62059	123.70879
Odbor za zadeve Evropske unije: 51. nujna seja (5. 9. 2017)	2	3182.91636	229.77941
33. redna seja (20. 9. 2017)	2	390.95854	28.22387
Odbor za notranje zadeve: 6. redna seja (19. 6. 2012)	2	1296.46235	93.59352
Odbor za obrambo: 54. nujna seja (5. 9. 2017)	2	3182.91636	229.77941
Odbor za notranje zadeve, javno upravo in lokalno samoupravo: 54. nujna seja (13. 7. 2017)	2	1203.06166	86.85079
24. izredna seja (20. 11. 2015)	2	662.77761	47.84689
Odbor za finance: 36. nujna seja (1. 4. 2020)	2	402.30754	29.04317
Komisija za evropske zadeve: 9. nujna seja (15. 7. 2003)	2	3852.0723	278.08676
Odbor za delo, družino, socialne zadeve in invalide: 37. redna seja (9. 3. 2017)	2	716.68315	51.73841
6. izredna seja (20. 4. 2001)	2	319.61725	23.07364
27. redna seja (16. 2. 2017)	2	518.37632	37.42235
25. redna seja (6. 3. 2007)	2	372.33196	26.87919
23. redna seja (20. 10. 2016)	2	355.48161	25.66274
Odbor za delo, družino, socialne zadeve in invalide: 34. redna seja (13. 1. 2017)	2	976.01212	70.45975
Odbor za kulturo šolstvo šport in mladino: 7. nujna seja (13. 11. 2009)	2	819.79357	59.1821
Odbor za izobraževanje, znanost, šport in mladino: 6. nujna seja (26. 11. 2014)	2	1255.79548	90.65772
18. redna seja (22. 4. 2016)	2	513.02946	37.03635
Odbor za obrambo: 27. nujna seja (28. 5. 2014)	2	1050.79097	75.85815
21. redna seja (31. 1. 2014)	2	297.0408	21.44381
3. redna seja (17. 12. 2018)	2	427.7437	30.87945
5. izredna seja (17. 8. 2018)	2	983.14717	70.97484
13. redna seja (18. 11. 2015)	2	301.22979	21.74622
13. redna seja (16. 11. 2015)	2	306.72598	22.143
Odbor za kmetijstvo, gozdarstvo in prehrano: 11. redna seja (13. 11. 2019)	2	630.69945	45.53112
Komisija za nadzor javnih financ: 8. nujna seja (11. 11. 2015)	2	924.2095	66.72004
Odbor za finance in monetarno politiko: 35. nujna seja (7. 10. 2015)	2	487.14795	35.16793
10. redna seja (9. 7. 2015)	2	432.32946	31.2105
Komisija za odnose s Slovenci v zamejstvu in po svetu: 1. srečanje (2. 7. 2015)	2	581.89674	42.00798
Odbor za zadeve Evropske unije: 157. redna seja (19. 1. 2018)	2	2914.99411	210.43771
Odbor za delo, družino, socialne zadeve in invalide: 13. redna seja (30. 6. 2015)	2	593.36269	42.83572
9. redna seja (19. 6. 2015)	2	330.51902	23.86065
11. izredna seja (26. 3. 2015)	2	370.29156	26.73189
Odbor za zunanjo politiko: 50. redna seja (21. 1. 2011)	2	2503.75996	180.75011
Odbor za delo, družino, socialne zadeve in invalide: 5. redna seja (10. 2. 2015)	2	472.37129	34.10118
Odbor za infrastrukturo, okolje in prostor: 8. nujna seja (10. 2. 2015)	2	664.08035	47.94094
Skupna seja: 33. nujna seja (22. 4. 2020)	2	560.94808	40.49567
Odbor za infrastrukturo, okolje in prostor: 54. nujna seja (2. 3. 2022)	2	586.76488	42.35942
Komisija za peticije: 1. redna seja (13. 2. 1997)	2	2394.89143	172.89073
29. redna seja (2. 10. 2003)	2	371.71748	26.83483
29. redna seja (1. 10. 2003)	2	515.28139	37.19892
Odbor za zdravstvo delo družino socialno politiko in invalide: 36. redna seja (12. 9. 2003)	2	761.49924	54.97375
Odbor za zunanjo politiko: 59. nujna seja (15. 7. 2003)	2	3852.0723	278.08676
Odbor za zdravstvo delo družino socialno politiko in invalide: 34. redna seja (4. 6. 2003)	2	876.49026	63.27512
Odbor za zdravstvo delo družino socialno politiko in invalide: 28. redna seja (4. 2. 2003)	2	1107.0571	79.92008
Ustavna komisija: 1. izredna seja (7. 6. 2002)	2	3373.61228	243.54603
8. izredna seja (20. 7. 2001)	2	1074.30216	77.55545
32. izredna seja (10. 2. 1999)	2	556.542	40.17758
32. izredna seja (9. 2. 1999)	2	980.98878	70.81902
Odbor za obrambo: 31. redna seja (2. 2. 1999)	2	3302.43223	238.40744
Odbor za infrastrukturo in okolje: 29. redna seja (16. 9. 1998)	2	2255.48351	162.82667
Odbor za mednarodne odnose: 1. redna seja (31. 1. 1997)	2	1666.81331	120.3297
Odbor za obrambo: 1. redna seja (30. 1. 1997)	2	1903.93128	137.4476
37. izredna seja (21. 12. 1995)	2	639.25663	46.14888
Zbor občin: 19. seja	2	145.05982	10.47208
Odbor za gospodarstvo: 46. redna seja (5. 4. 2004)	1	740.15773	53.43308
Odbor za finance in monetarno politiko: 7. redna seja (11. 6. 1997)	1	637.37413	46.01298
21. redna seja (21. 10. 2010)	1	211.32684	15.256
Odbor za kmetijstvo gozdarstvo in prehrano: 29. nujna seja (15. 4. 2004)	1	961.68092	69.42516
43. izredna seja (19. 4. 2004)	1	152.72384	11.02536
Odbor za gospodarstvo: 29. redna seja (20. 1. 2011)	1	443.01049	31.98158
Odbor za kulturo šolstvo in šport: 19. nujna seja (11. 6. 2008)	1	681.62838	49.20776
118. redna seja (5. 7. 2004)	1	6322.25103	456.4126
Odbor za notranjo politiko: 43. redna seja (13. 11. 2003)	1	691.77247	49.94007
38. redna seja (9. 7. 2004)	1	499.11909	36.03214
16. redna seja (29. 5. 2002)	1	320.62709	23.14654
Komisija za peticije ter za človekove pravice in enake možnosti: 1. redna seja (14. 1. 2005)	1	2561.87387	184.94544
4. redna seja (29. 3. 2005)	1	423.85643	30.59882
16. redna seja (21. 4. 2010)	1	132.02993	9.53143
Odbor za zunanjo politiko: 15. nujna seja (12. 5. 2005)	1	1339.52732	96.70245
24. redna seja (17. 5. 2005)	1	1201.80913	86.76037
6. redna seja (18. 5. 2005)	1	287.56595	20.75981
Komisija za peticije ter za človekove pravice in enake možnosti: 4. redna seja (22. 6. 2012)	1	476.86767	34.42578
Odbor za kulturo šolstvo in šport: 5. redna seja (1. 6. 2005)	1	157.08658	11.34031
7. redna seja (15. 6. 2005)	1	590.37855	42.6203
Odbor za zunanjo politiko: 21. nujna seja (1. 7. 2005)	1	1931.94589	139.47001
8. redna seja (11. 7. 2005)	1	340.7136	24.59662
8. redna seja (15. 7. 2005)	1	249.75753	18.03036
34. redna seja (22. 7. 2005)	1	7979.29263	576.03687
Odbor za delo družino socialne zadeve in invalide: 7. redna seja (7. 9. 2005)	1	776.67799	56.06953
Mandatno-volilna komisija: 11. redna seja (15. 9. 2005)	1	733.72806	52.96891
9. redna seja (26. 9. 2005)	1	300.67402	21.7061
Odbor za kulturo šolstvo in šport: 8. nujna seja (19. 10. 2005)	1	639.69946	46.18084
10. redna seja (25. 10. 2005)	1	181.2313	13.08335
41. redna seja (11. 11. 2005)	1	813.00927	58.69233
10. redna seja (29. 7. 1998)	1	411.45524	29.70356
Odbor za okolje in prostor: 7. redna seja (17. 11. 2005)	1	478.44888	34.53993
11. redna seja (25. 11. 2005)	1	490.80721	35.43209
Odbor za kmetijstvo, gozdarstvo in prehrano: 27. redna seja (6. 5. 2021)	1	831.25612	60.0096
10. redna seja (28. 1. 2013)	1	236.97761	17.10776
6. redna seja (27. 3. 2015)	1	220.31097	15.90457
13. izredna seja (12. 12. 2005)	1	315.4359	22.77178
12. redna seja (14. 12. 2005)	1	397.04345	28.66315
Odbor za zunanjo politiko: 11. redna seja (23. 2. 2006)	1	597.66372	43.14622
14. redna seja (2. 3. 2006)	1	227.22064	16.40339
48. izredna seja (6. 7. 2004)	1	457.52583	33.02946
Komisija za odnose s Slovenci v zamejstvu in po svetu: 1. nujna seja (20. 11. 2008)	1	707.27863	51.05948
15. redna seja (31. 3. 2006)	1	313.81373	22.65467
Komisija za nadzor proračuna in drugih javnih financ: 23. redna seja (14. 4. 2006)	1	303.8397	21.93463
